vehicle_id,title,description,url,make,model,year,mileage.value,mileage.unit,price,state_of_vehicle,condition,availability,body_style,fuel_type,transmission,image_link,additional_image_link,address
XMB142,Volkswagen Passat Alltrack,"Volkswagen Passat Alltrack 2.0 TDI 4Motion DSG 177hk DragVälutrustad Volkswagen Passat Alltrack med den starka 2.0 TDI-motorn på 177 hk, DSG-automatlåda och 4Motion fyrhjulsdrift. En rymlig och bekväm kombi som passar perfekt för familjen, långresor och vintervägar.Bilen är utrustad med dragkrok, är regelbundet servad och har haft samma ägare sedan 2020. Besiktas senast 2027-08-31. Årsskatt: 3 397 kr. Sommar- och vinterdäck ingår samt garanti för extra trygghet. Finansiering erbjuds och vi hjälper gärna till med inbyte eller hemleverans i hela Sverige.Kontakta oss för visning eller frågor!Telefon: 0920-999 86WhatsApp: 0727 448 034E-post: info @ begbilnorr.se",https://begbilnorr.se/bilar/volkswagen-passat-alltrack-2015-xmb142?utm_source=facebook&utm_medium=paid-social&utm_campaign=lagerannonser&utm_content=XMB142,Volkswagen,Passat Alltrack,2015,254500,KM,76950 SEK,used,used,available,Kombi,Diesel,automatic,https://images.blocketcdn.se/dynamic/1600w/item/25621974/f9ee2f0a-3386-4f7c-93fb-f2123f34e44d,"https://images.blocketcdn.se/dynamic/1600w/item/25621974/96210a64-8945-41a1-94a8-cebd25c5152b,https://images.blocketcdn.se/dynamic/1600w/item/25621974/e000f358-dd9d-4743-a309-c41d3c081ddf,https://images.blocketcdn.se/dynamic/1600w/item/25621974/5f16d17f-1ffd-4ef1-92c5-c09ca1c8f1c4,https://images.blocketcdn.se/dynamic/1600w/item/25621974/3c2a8644-e56b-48df-b22d-76a1ee49ecc9,https://images.blocketcdn.se/dynamic/1600w/item/25621974/b900efc9-a2c3-4583-89bd-880395fb49c9,https://images.blocketcdn.se/dynamic/1600w/item/25621974/be5b7bea-944e-4320-b89e-2c025d832ad3,https://images.blocketcdn.se/dynamic/1600w/item/25621974/4ad2dce8-bb0b-428b-8cc3-6fcf60b344fb,https://images.blocketcdn.se/dynamic/1600w/item/25621974/95a8fbf5-9457-41e2-a037-e649278ee0e0,https://images.blocketcdn.se/dynamic/1600w/item/25621974/60162f8a-6775-402a-ad26-16b37c80f24d,https://images.blocketcdn.se/dynamic/1600w/item/25621974/9da14e43-f94c-4d4a-be23-5767375afd9c","{""addr1"":""Fabriksvägen 18"",""city"":""Luleå"",""region"":""Norrbotten"",""country"":""SE"",""postal_code"":""972 54""}"
KDW546,Ford Focus,"Praktisk och ekonomisk Ford Focus Kombi med den bränslesnåla 1.6 TDCi-dieselmotorn på 109 hk och manuell växellåda. En rymlig kombi som passar perfekt för både familjen, pendling och längre resor.Bilen erbjuder god körkomfort, generöst lastutrymme och låga driftkostnader. Besiktas senast 2027-03-31. Årsskatt: 1 520 kr. Sommar- och vinterdäck ingår samt garanti för extra trygghet. Finansiering erbjuds och vi hjälper gärna till med inbyte eller hemleverans i hela Sverige.Kontakta oss för visning eller frågor!Telefon: 0920-999 86WhatsApp: 0727 448 034E-post: info @ begbilnorr.seWebb: www.begbilnorr.se",https://begbilnorr.se/bilar/ford-focus-2010-kdw546?utm_source=facebook&utm_medium=paid-social&utm_campaign=lagerannonser&utm_content=KDW546,Ford,Focus,2010,189500,KM,46950 SEK,used,used,available,Kombi,Diesel,manual,https://images.blocketcdn.se/dynamic/1600w/item/25039776/6b8fd0d0-fc5f-4431-886f-2542ad5419b5,"https://images.blocketcdn.se/dynamic/1600w/item/25039776/2c0f3304-820d-4b47-ae3f-6dc05e3b0914,https://images.blocketcdn.se/dynamic/1600w/item/25039776/20beed95-138d-420c-ade6-994eabfe31e3,https://images.blocketcdn.se/dynamic/1600w/item/25039776/d0122255-617c-44e4-af72-bc9bd1e35c9e,https://images.blocketcdn.se/dynamic/1600w/item/25039776/6e8ac0c8-86fa-4745-8e8e-2d5d84b569ef,https://images.blocketcdn.se/dynamic/1600w/item/25039776/4a45b908-e757-48d7-8c7c-04aa92bc44f2,https://images.blocketcdn.se/dynamic/1600w/item/25039776/29c4a3aa-c949-47e5-9177-987d61949ac6,https://images.blocketcdn.se/dynamic/1600w/item/25039776/46f5d5d0-79db-4b7a-ad5a-feca31335e5e,https://images.blocketcdn.se/dynamic/1600w/item/25039776/497dff52-ccd7-4f9c-b963-1907b6bb61ac,https://images.blocketcdn.se/dynamic/1600w/item/25039776/a9b1de94-684a-40d1-942f-f1ad4a3c9f99,https://images.blocketcdn.se/dynamic/1600w/item/25039776/854c6332-d357-4206-9dff-2f34cd7c42a9,https://images.blocketcdn.se/dynamic/1600w/item/25039776/8e0ee97b-6dd9-45fb-acce-e068debe263f","{""addr1"":""Fabriksvägen 18"",""city"":""Luleå"",""region"":""Norrbotten"",""country"":""SE"",""postal_code"":""972 54""}"
XDJ235,Hyundai Santa Fe,"Hyundai Santa Fe 2.7 V6 4WD Automat 173hk NyservadRymlig och robust Hyundai Santa Fe med den pålitliga 2.7 V6-motorn på 173 hk, automatlåda och fyrhjulsdrift. En bekväm SUV som passar utmärkt för familjen, vinterkörning och dragarbete.Bilen är nyservad och nybesiktad, vilket ger ett tryggt bilägande från start. Besiktas senast 2027-09-30. Sommar- och vinterdäck ingår samt garanti för extra trygghet. Finansiering erbjuds och vi hjälper gärna till med inbyte eller hemleverans i hela Sverige.Kontakta oss för visning eller frågor!Telefon: 0920-999 86WhatsApp: 0727 448 034E-post: info @ begbilnorr.seWebb: www.begbilnorr.se",https://begbilnorr.se/bilar/hyundai-santa-fe-2006-xdj235?utm_source=facebook&utm_medium=paid-social&utm_campaign=lagerannonser&utm_content=XDJ235,Hyundai,Santa Fe,2006,214780,KM,55950 SEK,used,used,available,SUV,Bensin,automatic,https://images.blocketcdn.se/dynamic/1600w/item/25104693/ea3932e8-e871-48eb-90a3-2e1c1f4d71d3,"https://images.blocketcdn.se/dynamic/1600w/item/25104693/9efebf63-9b51-4103-88b0-4891752bfdeb,https://images.blocketcdn.se/dynamic/1600w/item/25104693/6b25a53c-6a35-45ad-8ac4-4f0254368b82,https://images.blocketcdn.se/dynamic/1600w/item/25104693/085925f0-b609-4ad7-8f7b-e05b2ef9749b,https://images.blocketcdn.se/dynamic/1600w/item/25104693/1f6bb617-a08a-4bc8-9d1c-cc1a9c4f617f,https://images.blocketcdn.se/dynamic/1600w/item/25104693/8e384fa4-3869-4f51-ae1b-719cdc9e8135,https://images.blocketcdn.se/dynamic/1600w/item/25104693/7fd81c02-db24-480f-9cd3-0aed53c80b3b,https://images.blocketcdn.se/dynamic/1600w/item/25104693/78dc436a-6018-4e04-8f51-c96b4ad03f26,https://images.blocketcdn.se/dynamic/1600w/item/25104693/f068a5ce-2bd9-47c3-8817-1b6be159f7d4,https://images.blocketcdn.se/dynamic/1600w/item/25104693/1c53e5d3-8d88-42c3-a282-b12ebad84a47,https://images.blocketcdn.se/dynamic/1600w/item/25104693/eb2f0255-2cc4-4d10-8735-6b8f0a4d8518,https://images.blocketcdn.se/dynamic/1600w/item/25104693/b553df27-4f06-42a2-a5f4-458bc8a92f0c","{""addr1"":""Fabriksvägen 18"",""city"":""Luleå"",""region"":""Norrbotten"",""country"":""SE"",""postal_code"":""972 54""}"
MYP454,Volkswagen Golf VI,"Praktisk och bränslesnål Volkswagen Golf Variant 1.6 TDI med manuell växellåda och 105 hk. En rymlig kombi som passar perfekt för både familjen och pendlaren. Bilen är regelbundet servad och väl omhändertagen, med låg bränsleförbrukning och god komfort för både stadskörning och längre resorBilen erbjuder en ekonomisk dieselmotor, stor lastkapacitet och välkända köregenskaper. Väl omhändertagen och redo för många problemfria mil.Besiktad till 2027-07-31Årsskatt: 1103 krSommar- och vinterdäck ingårGaranti ingår – slipp otrevliga överraskningar1 månads helförsäkring ingår kostnadsfrittFinansiering erbjuds – snabbt lånebesked, oftast samma dagProvkör bilen hemma hos dig – vi kommer till digByt in din bil eller köp på distans – vi levererar i hela SverigeKontakta oss för visning eller frågor!",https://begbilnorr.se/bilar/volkswagen-golf-vi-2013-myp454?utm_source=facebook&utm_medium=paid-social&utm_campaign=lagerannonser&utm_content=MYP454,Volkswagen,Golf VI,2013,165850,KM,73950 SEK,used,used,available,Kombi,Diesel,manual,https://images.blocketcdn.se/dynamic/1600w/item/24648532/a21acdf4-0cd5-475a-b4b8-7df80dec6a47,"https://images.blocketcdn.se/dynamic/1600w/item/24648532/bdd31292-b891-4c32-a612-5ae0dda96aa0,https://images.blocketcdn.se/dynamic/1600w/item/24648532/4a308b1e-4b68-4b44-8b95-b70990e6c778,https://images.blocketcdn.se/dynamic/1600w/item/24648532/17adff91-97b2-44eb-a2fe-76f899d403f2,https://images.blocketcdn.se/dynamic/1600w/item/24648532/b198ce7a-6049-4450-8fb2-b0e4b29b25d3,https://images.blocketcdn.se/dynamic/1600w/item/24648532/a99569e6-14d4-4026-b498-a9362e8601ec,https://images.blocketcdn.se/dynamic/1600w/item/24648532/e5219533-018a-439a-b4c4-d188b6dad002,https://images.blocketcdn.se/dynamic/1600w/item/24648532/3a43f181-6ee7-4561-9f77-4cbb18ad2849","{""addr1"":""Fabriksvägen 18"",""city"":""Luleå"",""region"":""Norrbotten"",""country"":""SE"",""postal_code"":""972 54""}"
GJB170,Skoda Octavia,"Škoda Octavia Combi 2.0 TDI 4x4 Manuell 150hk LågmilRymlig och pålitlig Škoda Octavia Combi med den starka 2.0 TDI-motorn på 150 hk, manuell växellåda och fyrhjulsdrift. En perfekt kombination av komfort, låg förbrukning och framkomlighet året runt.Bilen är lågmilad, nyservad och har haft samma ägare sedan 2014, vilket vittnar om ett tryggt och väl omhändertaget ägande. Besiktas senast 2027-08-31. Årsskatt: 1 781 kr.Kontakta oss för visning eller frågor!Telefon: 0920-999 86WhatsApp: 0727 448 034E-post: info @ begbilnorr.seWebb: www.begbilnorr.se",https://begbilnorr.se/bilar/skoda-octavia-2014-gjb170?utm_source=facebook&utm_medium=paid-social&utm_campaign=lagerannonser&utm_content=GJB170,Skoda,Octavia,2014,151580,KM,123950 SEK,used,used,available,Kombi,Diesel,manual,https://images.blocketcdn.se/dynamic/1600w/item/24483139/a3515c2f-7cb2-44e4-b8ea-1af38e1969c1,"https://images.blocketcdn.se/dynamic/1600w/item/24483139/493174fe-5a88-4635-be7f-41c0c377f74a,https://images.blocketcdn.se/dynamic/1600w/item/24483139/5710b3ae-bfc3-4793-b915-d801bf0d1a3d,https://images.blocketcdn.se/dynamic/1600w/item/24483139/fd0430e0-c01d-4c22-88e6-69b20ea1cc56,https://images.blocketcdn.se/dynamic/1600w/item/24483139/d19b5211-c4c9-44dc-9298-95db59a7c27f,https://images.blocketcdn.se/dynamic/1600w/item/24483139/d9e5763f-0b6b-4bd1-bc83-778817b0499e,https://images.blocketcdn.se/dynamic/1600w/item/24483139/e521a1b4-a474-46f0-b7c0-9e8fe35957bc,https://images.blocketcdn.se/dynamic/1600w/item/24483139/b08ff543-e176-40bb-8ae3-f006a1b566df,https://images.blocketcdn.se/dynamic/1600w/item/24483139/24575bd2-e485-4769-aa61-f7f64cbcf570","{""addr1"":""Fabriksvägen 18"",""city"":""Luleå"",""region"":""Norrbotten"",""country"":""SE"",""postal_code"":""972 54""}"
HNZ757,Skoda Superb,"Skoda Superb Kombi 2.0 TDI 4x4 DSG – Drag, 4x4Rymlig och stark kombi med fyrhjulsdrift, perfekt för familj eller arbete. En komfortabel långfärdsbil med hög säkerhet och framkomlighet året runt.Bilen har en 2.0 TDI på 140 hk med smidig DSG automatlåda och 4x4-system som ger stabil körning i alla väder. Generösa utrymmen, hög komfort och bra utrustningsnivå gör den till en pålitlig vardagsbil. Handikappanpassad med lösningar som underlättar tillgänglighet och användning i vardagen.Välskött och i gott bruksskick.Besiktad till 2026-12-31Årsskatt: 3 970 krSommar- och vinterdäck ingårGaranti ingår – slipp otrevliga överraskningar1 månads helförsäkring ingår kostnadsfrittFinansiering erbjuds – snabbt lånebesked, oftast samma dagProvkör bilen hemma hos dig – vi kommer till digByt in din bil eller köp på distans – vi levererar i hela SverigeKontakta oss för visning eller frågor!Telefon: 0920-999 86WhatsApp: 0727 448 034E-post: info @ begbilnorr.se",https://begbilnorr.se/bilar/skoda-superb-2012-hnz757?utm_source=facebook&utm_medium=paid-social&utm_campaign=lagerannonser&utm_content=HNZ757,Skoda,Superb,2012,171000,KM,69950 SEK,used,used,available,Kombi,Diesel,automatic,https://images.blocketcdn.se/dynamic/1600w/item/25553909/2375e3b5-5016-4ec6-873a-3b50afdd40b8,"https://images.blocketcdn.se/dynamic/1600w/item/25553909/a77248f4-80dc-467c-9ca9-168dc3bff84b,https://images.blocketcdn.se/dynamic/1600w/item/25553909/94ae71cb-860b-4101-9f54-d16079c49372,https://images.blocketcdn.se/dynamic/1600w/item/25553909/b2aa986f-463b-40db-80af-7a5a593b8fd3,https://images.blocketcdn.se/dynamic/1600w/item/25553909/972fb780-7ac7-4512-9cdb-d7c56a5ed7ec,https://images.blocketcdn.se/dynamic/1600w/item/25553909/3cd748cb-d1fd-4de8-96a6-1f193f07791c,https://images.blocketcdn.se/dynamic/1600w/item/25553909/8e5d00b2-1f74-495c-ab0e-05247ad90625,https://images.blocketcdn.se/dynamic/1600w/item/25553909/d9acf82f-dce8-4674-bf92-a4298426e41c,https://images.blocketcdn.se/dynamic/1600w/item/25553909/c4ce91fd-c41d-4622-94fc-657a20b1d6c8,https://images.blocketcdn.se/dynamic/1600w/item/25553909/ee25c214-a4fd-4762-9c97-c2a9c5eca393","{""addr1"":""Fabriksvägen 18"",""city"":""Luleå"",""region"":""Norrbotten"",""country"":""SE"",""postal_code"":""972 54""}"
MCZ287,Kia Rio,"Kia Rio 1.4 CVVT 109hk • 5-dörrar • Låg skattPraktisk och bränslesnål Kia Rio med 1.4 CVVT-motor på 109 hk och manuell växellåda. En smidig och ekonomisk bil som passar perfekt för både stadskörning och pendling.Bilen har haft samma ägare sedan 2011 och är regelbundet servad genom åren, vilket vittnar om ett omsorgsfullt ägande. Den kommer att nybesiktas vid försäljning för en extra trygg affär.* Besiktad till 2027-08-31* Årsskatt: 536 kr* Sommar- och vinterdäck ingår* Garanti ingårKontakta oss för visning eller frågor!Telefon: 0920-999 86WhatsApp: 0727 448 034www.begbilnorr.se",https://begbilnorr.se/bilar/kia-rio-2012-mcz287?utm_source=facebook&utm_medium=paid-social&utm_campaign=lagerannonser&utm_content=MCZ287,Kia,Rio,2012,130050,KM,73950 SEK,used,used,available,Halvkombi 5-dörrar,Bensin,manual,https://images.blocketcdn.se/dynamic/1600w/item/24850717/227d10f6-3c0c-4e06-90ee-e4ff5793f872,"https://images.blocketcdn.se/dynamic/1600w/item/24850717/03a90982-8dfe-44cc-8c36-8e8d77994bb0,https://images.blocketcdn.se/dynamic/1600w/item/24850717/eb0b93a4-4521-4e77-b236-922cf7546433,https://images.blocketcdn.se/dynamic/1600w/item/24850717/ec5aef78-6d2e-4309-ba6f-cfe447d20bcb,https://images.blocketcdn.se/dynamic/1600w/item/24850717/86109082-7c27-4ae4-8f71-906bdf5b6880,https://images.blocketcdn.se/dynamic/1600w/item/24850717/3ea82396-95e4-48e0-a8ab-fec807180bf2,https://images.blocketcdn.se/dynamic/1600w/item/24850717/72bbf114-f442-436b-98e1-51303d36223d,https://images.blocketcdn.se/dynamic/1600w/item/24850717/433d08ff-c846-497b-9c40-cc0644193626,https://images.blocketcdn.se/dynamic/1600w/item/24850717/2cca8391-9b35-4db6-9959-7dca0ef67862,https://images.blocketcdn.se/dynamic/1600w/item/24850717/51881e3d-d115-4dfe-8744-11cdbb842652,https://images.blocketcdn.se/dynamic/1600w/item/24850717/2ef272ee-8a4b-4c89-9ba6-5cb776fc6c24","{""addr1"":""Fabriksvägen 18"",""city"":""Luleå"",""region"":""Norrbotten"",""country"":""SE"",""postal_code"":""972 54""}"
MFP435,Ford Kuga,"Ford Kuga 2.0 TDCi AWD Powershift 163hk 4WDVälutrustad Ford Kuga med den starka 2.0 TDCi-dieselmotorn på 163 hk, smidig Powershift-automatlåda och fyrhjulsdrift. En bekväm och rymlig SUV som passar perfekt för både vardagskörning, familjeliv och längre resor året runt.Bilen erbjuder hög körkomfort och trygg framkomlighet i alla väder. Besiktas senast 2027-08-31. Årsskatt: 4 648 kr. Sommar- och vinterdäck ingår samt garanti för extra trygghet. Finansiering erbjuds och vi hjälper gärna till med inbyte eller hemleverans i hela Sverige.Kontakta oss för visning eller frågor!Telefon: 0920-999 86WhatsApp: 0727 448 034E-post: info @ begbilnorr.seWebb: www.begbilnorr.se",https://begbilnorr.se/bilar/ford-kuga-2012-mfp435?utm_source=facebook&utm_medium=paid-social&utm_campaign=lagerannonser&utm_content=MFP435,Ford,Kuga,2012,245290,KM,66950 SEK,used,used,available,SUV,Diesel,automatic,https://images.blocketcdn.se/dynamic/1600w/item/25184054/e57b2f63-ee49-46b1-b30c-32fba279a6d8,"https://images.blocketcdn.se/dynamic/1600w/item/25184054/83bfaa5e-fa89-42de-8610-79b495569df3,https://images.blocketcdn.se/dynamic/1600w/item/25184054/fb4e8c5a-c5a8-486f-905a-c6e70dcc930e,https://images.blocketcdn.se/dynamic/1600w/item/25184054/592fc577-18ba-445f-b9a5-6bf71ab45c69,https://images.blocketcdn.se/dynamic/1600w/item/25184054/f14324ab-e8b7-451b-ad85-589581f1fd8b,https://images.blocketcdn.se/dynamic/1600w/item/25184054/814efe33-d9ec-44aa-852f-bb40b53636a4,https://images.blocketcdn.se/dynamic/1600w/item/25184054/bb3300d9-0cc2-4cc7-83d4-f109f7ebc469,https://images.blocketcdn.se/dynamic/1600w/item/25184054/18761ae4-c4d2-4eb4-8033-e6f595cc5c90,https://images.blocketcdn.se/dynamic/1600w/item/25184054/7fe77573-670b-4fec-9957-cca2e663ffb5,https://images.blocketcdn.se/dynamic/1600w/item/25184054/b745e952-68a8-4624-aa49-c82ceea6b352,https://images.blocketcdn.se/dynamic/1600w/item/25184054/649596ac-afbf-4fab-ba20-ae0fd794d09a,https://images.blocketcdn.se/dynamic/1600w/item/25184054/a8e70c33-9add-4305-8cd7-fe9a9d05dc0c","{""addr1"":""Fabriksvägen 18"",""city"":""Luleå"",""region"":""Norrbotten"",""country"":""SE"",""postal_code"":""972 54""}"
OMW371,Toyota Corolla Verso,"Toyota Corolla Verso 1.8 VVT-i 7-sits • Manuell • Familjebil**Rymlig och praktisk Toyota Corolla Verso med 1.8 VVT-i-motor på 129 hk och manuell växellåda. En flexibel 7-sitsig familjebil med gott om plats för både passagerare och bagage.Bilen har funnits i samma familjs ägo sedan 2008, vilket vittnar om ett långsiktigt och omsorgsfullt ägande. Toyota är känd för sin driftsäkerhet och låga ägandekostnader.* Besiktad till 2027-08-31* Årsskatt: 1 966 kr* Sommar- och vinterdäck ingår* Garanti ingårKontakta oss för visning eller frågor!Telefon: 0920-999 86",https://begbilnorr.se/bilar/toyota-corolla-verso-2008-omw371?utm_source=facebook&utm_medium=paid-social&utm_campaign=lagerannonser&utm_content=OMW371,Toyota,Corolla Verso,2008,148640,KM,74950 SEK,used,used,available,Familjebuss,Bensin,manual,https://images.blocketcdn.se/dynamic/1600w/item/25529823/29511c6d-83fb-47ad-ab15-48afdb08dcf3,"https://images.blocketcdn.se/dynamic/1600w/item/25529823/6b497934-c75c-4a25-bcae-ee7e9ac01162,https://images.blocketcdn.se/dynamic/1600w/item/25529823/db67385f-7a99-41d0-95c3-be22ac86e432,https://images.blocketcdn.se/dynamic/1600w/item/25529823/bdd5b5de-2db4-4da9-b98e-0f0b3ad639a0,https://images.blocketcdn.se/dynamic/1600w/item/25529823/10766b19-16ca-4526-a4f9-f9591c72442d,https://images.blocketcdn.se/dynamic/1600w/item/25529823/42b5da49-dca3-4c8a-bf09-36d4cd10e0df,https://images.blocketcdn.se/dynamic/1600w/item/25529823/186f81eb-8953-42a7-9c67-4ed6cdb3aece,https://images.blocketcdn.se/dynamic/1600w/item/25529823/15bfb63b-abcd-4fee-b3c9-6816c3ea55c7,https://images.blocketcdn.se/dynamic/1600w/item/25529823/887afa94-280d-4ebd-9eee-6e455e37e6ca,https://images.blocketcdn.se/dynamic/1600w/item/25529823/fd89357a-2a15-4321-ad48-e5374c2cb8c4,https://images.blocketcdn.se/dynamic/1600w/item/25529823/2488e606-6ab7-4583-85e6-5a57b2f78d51,https://images.blocketcdn.se/dynamic/1600w/item/25529823/a13d5b58-3e70-41ff-b354-0e9b97d6a89b","{""addr1"":""Fabriksvägen 18"",""city"":""Luleå"",""region"":""Norrbotten"",""country"":""SE"",""postal_code"":""972 54""}"
WTA563,Toyota Corolla,"Toyota Corolla Kombi 1.6 VVT-i 110hk • Manuell • Driftsäker**Praktisk och välkänd Toyota Corolla Kombi med den pålitliga 1.6 VVT-i-motorn på 110 hk och manuell växellåda. En ekonomisk familjebil med gott om lastutrymme och låga ägandekostnader.Senaste ägaren har haft bilen sedan 2014, vilket tyder på ett långsiktigt och omsorgsfullt ägande. En uppskattad modell som är känd för sin driftsäkerhet och hållbarhet.* Besiktad till 2027-07-31* Årsskatt: 1 702 kr* Sommar- och vinterdäck ingår* Garanti ingårKontakta oss för visning eller frågor!Telefon: 0920-999 86",https://begbilnorr.se/bilar/toyota-corolla-2005-wta563?utm_source=facebook&utm_medium=paid-social&utm_campaign=lagerannonser&utm_content=WTA563,Toyota,Corolla,2005,214580,KM,45950 SEK,used,used,available,Kombi,Bensin,manual,https://images.blocketcdn.se/dynamic/1600w/item/25529170/edaa25c0-2fe4-40f3-af1c-695f98a844ec,"https://images.blocketcdn.se/dynamic/1600w/item/25529170/d2b47781-9b0a-47a7-ab94-28867319a2f1,https://images.blocketcdn.se/dynamic/1600w/item/25529170/f4e8ebff-1b17-48bc-a2b1-c378bffcedc6,https://images.blocketcdn.se/dynamic/1600w/item/25529170/4192dd80-c43c-4cfa-a536-7ec51be7be5d,https://images.blocketcdn.se/dynamic/1600w/item/25529170/2e9789f5-01d8-4018-b980-508b24055868,https://images.blocketcdn.se/dynamic/1600w/item/25529170/ebb7a239-45fe-4e68-8b98-0af8b5046040,https://images.blocketcdn.se/dynamic/1600w/item/25529170/071828e6-8f90-4eca-a2a3-9727c7303295,https://images.blocketcdn.se/dynamic/1600w/item/25529170/1951b259-20e2-4c84-bfe2-4ac35d5ea4a2,https://images.blocketcdn.se/dynamic/1600w/item/25529170/a86643a8-6f1c-431e-bb35-9f2019fe7ed1,https://images.blocketcdn.se/dynamic/1600w/item/25529170/b54bdfe5-bc32-49c4-a880-90114ebf186e","{""addr1"":""Fabriksvägen 18"",""city"":""Luleå"",""region"":""Norrbotten"",""country"":""SE"",""postal_code"":""972 54""}"
